ALVO VENDAS,TAXA,,,,,,,,,
1916000,0.04,,,,,,,,,
,,,,,,,,,,
CNPJ,SCORE,TAXA,PRAZO,NOME,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,REBATE,EXEC
57953549000118,0.775,2.88,16,QUINTA DO VALE ALIMENTOS,,170000,,,0,False
57953549000118,0.775,2.88,16,QUINTA DO VALE ALIMENTOS,,,,120000,0,False
57953549000118,0.775,2.88,27,TEDESCO EQUIPAMENTOS,,,100000,,0,False
57953549000118,0.775,2.88,27,TEDESCO EQUIPAMENTOS,,,,100000,0,False
6335233000121,0.725,2.88,34,TURISSUL,,105000,,,0,False
6335233000121,0.725,2.88,34,TURISSUL,,,105000,,0,False
4480775000162,0.708,2.88,34,FLORISBAL & VARGAS LTDA-ME,,45000,,,0,False
4480775000162,0.708,2.88,34,FLORISBAL & VARGAS LTDA-ME,,,,45000,0,False
53953543000190,0.705,2.89,30,DESCOMPLICA,15000,,,,0,True
10256548000150,0.698,2.9,45,ATELIE MATERIAIS,,85000,,,0,False
10907345000187,0.695,3,23,METALROSA COMERCIO,175000,,,,0,True
10907345000187,0.695,3,23,METALROSA COMERCIO,,,250000,,0,False
21474670000110,0.677,3.2,42,MATHEUS G ALVES EIRELI,25000,,,,0,True
27688396000168,0.675,3.2,45,H COSTA CONFECCOES LTDA,20000,,,,0,True
15707171000122,0.672,3.48,45,CLIENTES OCTOBUSINESS,30000,,,,0.2,True
15707171000122,0.672,3.48,45,CLIENTES OCTOBUSINESS,,40000,,,0.2,False
15707171000122,0.672,3.48,45,CLIENTES OCTOBUSINESS,,,40000,,0.2,False
15707171000122,0.672,3.48,45,CLIENTES OCTOBUSINESS,,,,40000,0.2,False
16596655000104,0.672,3.48,45,FINANFOR NOVA CAPITAL,,,250000,,0.2,False
16596655000104,0.672,3.48,45,FINANFOR NOVA CAPITAL,,,,250000,0.1,False
26419400000120,0.668,3.48,45,DISTRIBUIDORA CASA DE,,50000,,,0.1,False
54516661008005,0.658,3.48,45,VIBBRA,,12000,,,0.15,False
54516661008005,0.658,3.48,45,VIBBRA,,,12000,,0.15,False
54516661008005,0.658,3.48,45,VIBBRA,,,,12000,0.15,False
81887838000736,0.658,3.48,45,R2TECH,,,450000,,0.2,False
81887838000736,0.658,3.48,45,R2TECH,,,,450000,0.2,False
