CNPJ,Taxa,Nova Taxa,Nome,Semana,Valor,Desagio(*),Rebate,Desagio_Liq(*),Prazo,Exec
53953543000190,	 0.0289,X.XX,DESCOMPLICA,1,15000.0,433.50000000000006,0.0,433.50000000000006,30,True,
10907345000187,	 0.0300,X.XX,METALROSA CO,1,175000.0,4025.0,0.0,4025.0,23,True,
21474670000110,	 0.0320,X.XX,MATHEUS G AL,1,25000.0,1120.0,0.0,1120.0,42,True,
27688396000168,	 0.0320,X.XX,H COSTA CONF,1,20000.0,960.0,0.0,960.0,45,True,
15707171000122,	 0.0348,X.XX,CLIENTES OCT,1,30000.0,1566.0,0.2,1252.8,45,True,
57953549000118,	 0.0288,	 0.0325,QUINTA DO VA,2,170000.0,1882.131054739668,0.0,1882.131054739668,16,False,
6335233000121,	 0.0288,	 0.0346,TURISSUL,2,105000.0,2633.918037383198,0.0,2633.918037383198,34,False,
4480775000162,	 0.0288,	 0.0355,FLORISBAL & ,2,45000.0,1156.8713351134936,0.0,1156.8713351134936,34,False,
10256548000150,	 0.0290,	 0.0359,ATELIE MATER,2,85000.0,2927.239986648887,0.0,2927.239986648887,45,False,
15707171000122,	 0.0348,	 0.0368,CLIENTES OCT,2,40000.0,1410.5238985313858,0.2,1128.4191188251086,45,False,
26419400000120,	 0.0348,	 0.0372,DISTRIBUIDOR,2,50000.0,1783.7793724966757,0.1,1605.401435247008,45,False,
54516661008005,	 0.0348,	 0.0376,VIBBRA,2,12000.0,433.0569292389886,0.15,368.0983898531403,45,False,
57953549000118,	 0.0288,	 0.0325,TEDESCO EQUI,3,100000.0,1868.2918558077586,0.0,1868.2918558077586,27,False,
6335233000121,	 0.0288,	 0.0346,TURISSUL,3,105000.0,2633.918037383198,0.0,2633.918037383198,34,False,
10907345000187,	 0.0300,	 0.0359,METALROSA CO,3,250000.0,4400.42612372055,0.0,4400.42612372055,23,False,
15707171000122,	 0.0348,	 0.0368,CLIENTES OCT,3,40000.0,1410.5238985313858,0.2,1128.4191188251086,45,False,
16596655000104,	 0.0348,	 0.0368,FINANFOR NOV,3,250000.0,8815.774365821162,0.2,7052.61949265693,45,False,
54516661008005,	 0.0348,	 0.0376,VIBBRA,3,12000.0,433.0569292389886,0.15,368.0983898531403,45,False,
81887838000736,	 0.0348,	 0.0376,R2TECH,3,450000.0,16239.63484646207,0.2,12991.707877169656,45,False,
57953549000118,	 0.0288,	 0.0325,QUINTA DO VA,4,120000.0,1328.5630974632952,0.0,1328.5630974632952,16,False,
57953549000118,	 0.0288,	 0.0325,TEDESCO EQUI,4,100000.0,1868.2918558077586,0.0,1868.2918558077586,27,False,
4480775000162,	 0.0288,	 0.0355,FLORISBAL & ,4,45000.0,1156.8713351134936,0.0,1156.8713351134936,34,False,
15707171000122,	 0.0348,	 0.0368,CLIENTES OCT,4,40000.0,1410.5238985313858,0.2,1128.4191188251086,45,False,
16596655000104,	 0.0348,	 0.0368,FINANFOR NOV,4,250000.0,8815.774365821162,0.1,7934.196929239046,45,False,
54516661008005,	 0.0348,	 0.0376,VIBBRA,4,12000.0,433.0569292389886,0.15,368.0983898531403,45,False,
81887838000736,	 0.0348,	 0.0376,R2TECH,4,450000.0,16239.63484646207,0.2,12991.707877169656,45,False,
